                                     产品与模具表
产品类型          颜色          原料编号      模具编号       锁模力    原料到达时间 
    1         (0.5,0.6,0.8)         1             1           100           0
    2         (0.1,0.1,0.8)         2             2           100           0
    3         (0.5,0.9,0.3)         3             3           100           0
    4            (0,0,0)            4             4           100           0
    5         (0.9,0.3,0.2)         5             5           100           0
    6         (0.5,0.9,0.7)         6             6           100           0
    7        (0.12,0.66,0.7)        7             7           100           0
    8        (0.58,0.41,0.66)       8             8           100           0
    9         (0.66,0.1,0.3)        1             9           100           0
    10            (1,1,1)           2             10          100           0
    11        (0.6,0.6,0.6)         3             11          100           0
    12        (0.2,0.3,0.5)         4             12          100           0
    13        (0.1,0.9,0.3)         5             13          100           0
    14        (0.5,0.6,0.0)         6             14          100           0
    15          (0,0.9,0)           7             15          100           0
    16        (0.56,0.8,0.6)        8             16          100           0
