                         工单表
工单编号    产品类型    截止日期    优先级    生产数量
    1           1          40          1        1200
    2           2          42          2        1400
    3           3          44          3        1600
    4           4          46          4        1800
    5           5          48          5        2000
    6           6          50          6        2200
    7           7          52          7        2400
    8           8          54          8        2600
    9           9          52          1        2800
    10          10         50          2        3000
    11          11         48          3        3200
    12          12         46          4        3400
    13          13         44          5        3600
    14          14         42          6        3800
    15          15         40          7        4000
    16          16         38          8        4200
    17          1          40          1        1200
    18          2          42          2        1400
    19          3          44          3        1600
    20          4          46          4        1800
    21          5          48          5        2000
    22          6          50          6        2200
    23          7          52          7        2400
    24          8          54          8        2600
    25          9          52          1        2800
    26          10         50          2        3000
    27          11         48          3        3200
    28          12         46          4        3400
    29          13         44          5        3600
    30          14         42          6        3800
    31          15         40          7        4000
    32          16         38          8        4200
